"Symb","Proportion","Orders","Buys","AtAsk","AtBid","NetPrems","PremsChng","AvgExpD","OTM%","OTMScore","Unusual%","SpotChng","Ivol%"
"JPM","40%","10","50.0","314.28K","1.11M","-793.88K","100.0%","74.4","50.0%","2","0.4","0","22.37"
"SHEL","90%","19","52.6","841.18K","1.66M","-823.72K","1141.6%","147.1","52.6%","1.4","2.0","0","26.73"
"TWLO","61%","28","32.1","581.42K","1.41M","-829.14K","100.0%","63.3","32.1%","8.4","1.5","0","130.6"
"ABNB","61%","89","57.3","3.31M","4.16M","-852.01K","381.4%","33.5","57.3%","2.2","2.9","0","94.56"
"XLE","34%","20","40.0","909.91K","1.87M","-959.82K","195.9%","54.1","40.0%","2.3","0.4","0","28.48"
"IWM","24%","62","54.8","2.83M","3.98M","-1.15M","100.0%","41.4","54.8%","2.6","0.6","0","24.44"
"ARKK","41%","34","23.5","1.32M","2.66M","-1.33M","100.0%","20.3","23.5%","4.4","0.4","0","53.11"
"XLF","27%","6","16.7","444.00K","1.77M","-1.33M","178.3%","211.8","16.7%","-4.3","0.1","0","21.59"
"XOM","29%","13","53.8","932.15K","2.52M","-1.58M","407.7%","183.4","53.8%","1.8","0.5","0","28.85"
"WYNN","87%","52","38.5","1.87M","3.56M","-1.70M","100.0%","35.4","38.5%","-2.3","1.5","0","40.22"
"GOOG","70%","167","51.5","6.51M","9.31M","-2.80M","578.3%","101.3","51.5%","4.9","0.5","0","35.09"
"SQ","73%","66","36.4","3.22M","6.47M","-3.24M","100.0%","32.3","36.4%","3.3","0.9","0","78.21"
"LYFT","93%","70","24.3","1.16M","5.35M","-4.19M","292.8%","233.8","24.3%","17.5","0.5","0","68.24"
"BA","74%","103","52.4","4.05M","8.54M","-4.50M","610.0%","63.6","52.4%","2.5","2.0","0","35.5"
"TXN","73%","8","37.5","256.98K","10.60M","-10.35M","100.0%","237.5","37.5%","2.3","1.4","0","28.96"
"SPX","36%","390","53.3","89.87M","289.20M","-199.33M","291.8%","19.0","53.3%","1.3","0.8","0","27.86"
