"Symb","Proportion","Orders","Buys","AtAsk","AtBid","NetPrems","PremsChng","AvgExpD","OTM%","OTMScore","Unusual%","SpotChng","Ivol%"
"PARA","80%","8","25.0","61.12K","799.72K","-738.60K","100.0%","334.4","25.0%","0.2","0.4","0","53.56"
"SE","80%","8","50.0","106.18K","920.66K","-814.48K","100.0%","155.0","50.0%","14.9","0.4","0","72.12"
"AI","60%","40","32.5","599.59K","1.46M","-856.51K","196.6%","37.9","30.0%","15.8","0.2","0","161.16"
"UPST","37%","13","23.1","83.65K","946.72K","-863.07K","100.0%","179.2","23.1%","29.3","0.1","0","159.13"
"TSM","74%","109","44.0","3.92M","4.84M","-921.87K","100.0%","151.8","43.1%","5.8","2.3","0","32.6"
"CCJ","80%","37","29.7","858.67K","1.94M","-1.08M","100.0%","22.6","29.7%","0.8","1.5","0","43.63"
"EQT","90%","9","44.4","114.72K","1.31M","-1.19M","523.0%","105.2","44.4%","-0.2","0.7","0","53.92"
"QCOM","52%","16","25.0","765.81K","2.12M","-1.35M","100.0%","66.6","25.0%","-2.4","0.2","0","36.61"
"AR","80%","12","33.3","546.14K","2.04M","-1.49M","1758.6%","216.3","33.3%","18.8","1.7","0","52.7"
"AMAT","52%","11","18.2","82.78K","1.67M","-1.59M","544.1%","97.1","18.2%","8.7","0.2","0","42.73"
"VIX","80%","107","64.5","5.51M","7.50M","-1.99M","100.0%","48.6","63.6%","29.5","1.2","0","95.09"
"IWM","27%","108","48.1","5.32M","7.46M","-2.14M","445.0%","50.2","48.1%","1.1","0.5","0","25.28"
"ATVI","58%","19","42.1","722.56K","2.97M","-2.25M","339.1%","359.1","42.1%","16.7","0.4","0","26.93"
"CVX","42%","13","53.8","421.05K","2.74M","-2.32M","100.0%","129.7","53.8%","1.8","0.5","0","28.42"
"NEE","75%","27","29.6","903.35K","3.26M","-2.36M","419.9%","203.5","29.6%","3.5","1.2","0","24.71"
"AMZN","57%","247","47.4","6.47M","9.01M","-2.55M","100.0%","76.9","47.4%","7.4","0.2","0","43.68"
"SQ","70%","94","44.7","5.21M","7.83M","-2.62M","100.0%","41.8","43.6%","5.2","1.3","0","76.08"
"GMED","100%","6","16.7","26.88K","3.14M","-3.11M","100.0%","157.3","16.7%","2.4","1.0","0","31.03"
"GM","56%","34","64.7","1.71M","5.08M","-3.37M","221.7%","175.0","64.7%","6.7","0.8","0","35.3"
"SPY","40%","1928","48.1","77.72M","81.99M","-4.27M","100.0%","17.9","48.1%","0.8","0.5","0","22.71"
"CRM","77%","111","38.7","6.61M","11.12M","-4.51M","100.0%","45.6","38.7%","6.2","2.8","0","43.07"
"MSFT","65%","426","45.1","19.01M","25.26M","-6.24M","287.7%","64.5","45.1%","4","0.6","0","32.41"
"AMD","60%","169","36.1","5.39M","12.21M","-6.82M","490.7%","52.7","36.1%","4.5","0.3","0","50.45"
